crash_date,case_id,crash_id,lat,lon,geocoded,fatality,serious_injury
2014-07-09,141921393,13937687,30.26348,-97.74424,Here,,Y
2014-11-29,143220256,14149443,30.367663,-97.719215,Here,,Y
2015-12-02,143191220,14787199,30.45674,-97.79299,Here,,Y
2014-07-01,141910748,13940533,30.29208,-97.7343,Here,,Y
2014-11-18,142271944,14142246,30.09075,-97.7058,Here,,Y
2014-11-15,141661241,14153141,30.21565,-97.75275,Here,,Y
2014-07-10,141641922,13922425,30.24429,-97.88371,Here,,Y
2014-08-15,141650079,14001084,30.19326,-97.778919,Here,,Y
2014-06-15,141362228,13897460,30.353445,-97.724962,Here,,Y
2014-06-13,143101498,13895255,30.298306,-97.623243,Here,,Y
2014-06-14,132941084,13895343,30.31443,-97.70882,Here,,Y
2014-05-16,132720811,13845267,30.219926,-97.672435,Here,,Y
2014-11-05,132970913,14110112,30.40453,-97.72619,Here,,Y
2013-10-21,133201534,13650411,30.482257,-97.675264,Here,,Y
2013-09-29,13-3391204,13646260,30.34305,-97.73729,Here,,Y
2013-10-24,13-3370433,13643769,30.36279,-97.73055,Here,,Y
2013-11-16,141650304,13556888,30.261516,-97.775093,Here,,Y
2013-12-05,141630728,13716083,30.35679,-97.73269,Here,,Y
2013-12-03,142031382,13715766,38.72796,-112.07407,Here,,Y
2014-06-14,141801666,13892733,30.477132,-97.673523,Here,,Y
2014-06-12,141300818,13892386,30.26189,-97.792834,Here,,Y
2014-07-22,141711458,13963532,30.25829,-97.81282,Here,,Y
2014-06-29,142970560,13914925,30.298348,-97.687098,Here,,Y
2014-05-10,143131084,13829553,30.428795,-97.759668,Here,,Y
2014-06-20,142131199,13908833,30.243472,-97.729226,Here,,Y
2014-10-24,141040272,14115253,30.33887,-97.61935,Here,,Y
2014-11-09,133400364,14113782,30.29425,-97.72014,Here,,Y
2014-08-01,141020418,13976498,30.264767,-97.787402,Here,,Y
2014-04-14,141011897,13806024,30.47841,-97.80681,Here,,Y
2013-12-06,140920332,13805042,38.745559,-85.819799,Here,,Y
2014-04-12,141600580,13802858,30.4338,-97.67069,Here,,Y
2014-04-11,null,13802755,30.392228,-97.832276,Here,,Y
2014-04-02,133371189,13813850,30.35928,-97.71734,Here,,Y
2014-06-09,140920704,13891742,30.438922,-97.737813,Here,,Y
2014-04-16,140900734,13790415,30.32646,-97.72457,Here,,Y
2013-12-03,140840303,13602887,30.293968,-97.663474,Here,,Y
2014-04-02,140771414,13767453,30.36057,-97.7921,Here,,Y
2014-03-31,141550177,13765102,30.26322,-97.81606,Here,,Y
2014-03-25,141450416,13756866,30.409495,-97.675315,Here,,Y
2014-03-18,141450368,13746042,30.46595,-97.79519,Here,,Y
2014-06-04,141441418,13868401,30.25561,-97.81348,Here,,Y
2014-05-25,141150361,13866259,30.25449,-97.71662,Here,,Y
2014-05-25,1322571237,13866226,30.29835,-97.643497,Here,,Y
2014-05-24,130700449,13865165,30.31271,-97.70742,Here,,Y
